text,label
"CẦU NGUYỆN CHO VỊ CHA CHUNG CỦA CHÚNG TA Vì lý do sức khỏe, Đức Phanxicô không đến được nhà thờ thánh Gioan Latran Chúng ta cầu nguyện cho Ngài bình phục! ... Ngày 27 tháng 2-2020, thông báo của Tòa Thánh cho biết, vì lý do sức khỏe, Đức Phanxicô không đến được nhà thờ Thánh Gioan Latran ở Rôma để dâng thánh lễ đền tạ như đã dự trù. Ngài ở lại nghỉ ngơi ở Nhà Thánh Marta. Theo lẽ ngài sẽ đến gặp hàng giáo sĩ Rôma ở nhà thờ Thánh Gioan Latran, dâng thánh lễ đền tạ và giải tội cho các linh mục trong giáo phận của ngài. Đây không phải là lần đầu tiên ngài không đi vì lý do sức khỏe. Trước đây cũng có lần ngài đã hủy một buổi lễ vào tháng 2 và tháng 6 năm 2014. Ngài cũng đã bị choáng trong thánh lễ ở Geneva, Thụy Sĩ năm 2018, nhưng ngài vẫn tiếp tục chuyến đi đại kết của mình. Vấn đề sức khỏe Trong buổi tiếp kiến chung ngày thứ tư 26 tháng 2, trên gương mặt Đức Phanxicô cho thấy ngài bị mệt. Sau đó trong ngày, khi đến nhà thờ Thánh Sabina để dâng Lễ Tro, ngài đi khập khễnh hơn bình thường và được Đức ông  Guido Marini nâng đỡ, Đức ông là trưởng ban phụng vụ Phủ giáo hoàng. Về vấn đề sức khỏe, năm 21 tuổi, Đức Phanxicô đã phải bị mổ để lấy một phần lá phổi. Năm 2007 ngài bị viêm thần kinh tọa nên đã không đi Công nghị do Đức Bênêđictô XVI triệu tập. Ngài thường đau khớp và theo lẽ ngài sẽ mổ chứng đục thủy tinh năm 2019 nhưng ca phẫu thuật này chưa được xác nhận. Marta An Nguyễn dịch Nguồn: <URL> Xem thêm",-1
"Một thời người đường sắt đi đâu cũng hát “Con tàu Việt Nam đi suốt bốn mùa vui. Qua đèo Hải Vân mây bay đỉnh núi”. Được vào đường sắt làm việc, đặc biệt là đi tàu Thống Nhất là giấc mơ của không biết bao nhiêu người,
",-1
"Hù dân Việt hử, đây phổi khoẻ nhất vùng nha!

“Ngay trước khi đại dịch cúm do virus corona chủng mới gây ra (Covid-19) xuất hiện, ô nhiễm không khí ở ngoài trời đã liên quan tới cái chết của 9 triệu người mỗi năm. Đến giờ thì hai nghiên cứu mới nhất cho thấy các bệnh nhân mắc Covid-19 có nhiều khả năng tử vong hơn nếu họ sống ở khu vực có độ ô nhiễm không khí cao, hãng tin Bloomberg viết...”",-1
"1 THÁNG ÍT NHẤT 4 NGÀY NGHỈ; CÓ HỢP ĐỒNG LAO ĐỘNG...

📝 Người lao động (NLĐ) và người sử dụng lao động (NSDLĐ) giao kết và thực hiện hợp đồng lao động theo quy định tại Chương III của Bộ luật Lao động. Trong đó, hình thức hợp đồng lao động phải được giao kết bằng văn bản theo  Khoản 1 Điều 162 của Bộ luật Lao động.

Trước khi ký kết hợp đồng lao động thì NLĐ và NSDLĐ có trách nhiệm cung cấp thông tin theo quy định tại Điều 16 của Bộ luật Lao động, trong đó NSDLĐ phải cung cấp rõ các thông tin về số lượng thành viên trong hộ gia đình, điều kiện ăn, ở của NLĐ tại gia đình người sử dụng lao động.

Nội dung cụ thể của hợp đồng lao động do hai bên thỏa thuận căn cứ theo mẫu và quy định tại Khoản 1 Điều 21 của Bộ luật Lao động.

⏰ Thời giờ làm việc, thời giờ nghỉ ngơi đối với NLĐ giúp việc gia đình thực hiện theo quy định tại Chương VII Bộ luật Lao động, trong đó NSDLĐ phải bảo đảm cho NLĐ được nghỉ hằng tuần quy định tại Khoản 1 Điều 111 Bộ luật Lao động tính bình quân 1 tháng ít nhất 4 ngày; nghỉ ít nhất 6 giờ liên tục trong 24 giờ liên tục.

---
📋 Trên đây là một số nội dung tại Dự thảo Nghị định quy định về lao động là người giúp việc gia đình theo khoản 2 Điều 161 của Bộ luật Lao động. Mời xem toàn văn và góp ý dự thảo tại: <URL>",-1
"Bộ Giao thông - Vận tải khẳng định, quá trình thực hiện và khai thác các dự án BOT đảm bảo tính công khai, minh bạch các dự án đầu tư theo hình thức PPP. Vừa qua Quốc hội, Ủy ban Kiểm tra Trung ương, các cơ quan thanh tra, kiểm toán đã tổ chức nhiều đoàn thanh kiểm tra toàn bộ quá trình triển khai các dự án BOT do Bộ Giao thông vận tải là cơ quan nhà nước có thẩm quyền cho thấy, quá trình triển khai thực hiện các dự án BOT còn có các sai sót, tồn tại nhưng không gây thất thoát, lãng phí, lợi ích nhóm.",-1
Chính phủ ban hành Nghị định số 41/2020/NĐ-CP gia hạn thời hạn nộp thuế và tiền thuê đất,-1
"Hầu hết trẻ em mắc COVID-19 không có những triệu chứng phổ biến ở người bệnh trưởng thành như khó thở, đau nhức cơ, đau đầu và buồn nôn nên rất khó phát hiện trẻ nào đang mang bệnh.",-1
"XIN CÁC BẠN HÃY TIẾP TAY CHIA SẺ RỘNG ĐẾN MỌI NGƯỜI, MỌI GIA ĐÌNH. TIN VUI: KHẨU TRANG CÓ THỂ GIẾT CHẾT VIRUS CORONA TRONG VÒNG 5 PHÚT Hôm nay, 1 nhà khoa học Canada vừa tìm ra được là nếu khẩu trang có tẩm muối, Corona dính vào sẽ bị giết trong vòng 5 phút.... Trong lúc chờ đợi khẩu trang tẩm muối được bán trên thị trường, các bạn có thể làm theo cách sau đây: 1. Hai chén muối khuấy đều với nửa chén nước lọc (đun sôi) cho muối tan. 2. Dùng cọ bôi lên nhiều lần dung dịch muối ở phía ngoài khẩu trang. Chờ khô, làm lại 2 lần nữa và sau đó có thể dùng khẩu trang đi ra ngoài. 3. Nếu không có N95, có thể áp dụng tạm thời trên khẩu trang giấy chống bụi, hoặc khẩu trang bằng vải thường dùng. Nếu dùng khẩu trang vải, cứ 2 ngày giặt nó 1 lần và tẩm muối như vừa chỉ dẫn trên. Nhớ là phải phơi khẩu trang cho thật khô trước khi dùng. 4. Không chỉ giết corona, mà muối còn giết được tất cả những virus khác trong không khí ! Thông tin này cũng đã được đăng trên tạp chí Business Insider. Các bạn đọc thêm ở đây, và thấy có thể làm theo thì nên share post này đến nhiều người để cộng đồng có thêm cách phòng chống. Cộng đồng an toàn hơn thì mỗi chúng ta cũng an toàn hơn <URL>… Xem thêm",-1
"Nghị lực phi thường của cô bé 15 tuổi đạp xe hơn 1.200 km, chở cha bị thương về quê",-1
"Là 1 trong 8 người đầu tiên cố cảnh báo về dịch viên phổi cấp, bác sĩ Lý Văn Lượng 34 tuổi đã qua đời vào rạng sang ngày 7/2.  Đau lòng hơn, anh ra đi để lại người vợ đang mang thai cũng bị nhiễm virus corona...   ",-1
